datetime,AT_solar_generation_actual
2017-05-09,15646.460000000001
2017-05-10,23020.13
2017-05-11,21306.79
2017-05-12,18741.49
2017-05-13,17712.78
2017-05-14,19520.64
2017-05-15,15566.86
2017-05-16,19669.85
2017-05-17,24384.3
2017-05-18,24735.43
2017-05-19,24492.68
2017-05-20,18069.09
2017-05-21,15246.81
2017-05-22,22327.7
2017-05-23,22096.74
2017-05-24,15468.61
2017-05-25,19295.32
2017-05-26,21556.2
2017-05-27,25117.54
2017-05-28,25986.96
2017-05-29,23514.21
2017-05-30,22421.1
2017-05-31,17544.6
2017-06-01,17031.85
2017-06-02,19445.94
2017-06-03,21377.72
2017-06-04,15090.32
2017-06-05,17028.55
2017-06-06,16447.74
2017-06-07,16395.3
2017-06-08,22976.65
2017-06-09,23682.97
2017-06-10,19338.96
2017-06-11,23916.36
2017-06-12,21244.78
2017-06-13,23296.95
2017-06-14,21480.79
2017-06-15,23571.75
2017-06-16,17503.46
2017-06-17,20447.37
2017-06-18,23499.8
2017-06-19,24171.97
2017-06-20,23612.74
2017-06-21,19957.35
2017-06-22,21826.829999999998
2017-06-23,18130.329999999998
2017-06-24,22576.75
2017-06-25,14583.47
2017-06-26,23036.75
2017-06-27,17946.94
2017-06-28,19842.84
2017-06-29,17438.04
2017-06-30,21243.47
2017-07-01,20318.56
2017-07-02,15500.87
2017-07-03,20078.47
2017-07-04,22306.11
2017-07-05,23008.17
2017-07-06,22894.07
2017-07-07,20461.85
2017-07-08,19700.12
2017-07-09,17915.75
2017-07-10,19120.12
2017-07-11,17052.97
2017-07-12,17701.86
2017-07-13,22602.34
2017-07-14,18864.239999999998
2017-07-15,16162.53
2017-07-16,19219.49
2017-07-17,20791.95
2017-07-18,22210.99
2017-07-19,18355.0
2017-07-20,20411.82
2017-07-21,19628.1
2017-07-22,17733.37
2017-07-23,15751.869999999999
2017-07-24,11827.19
2017-07-25,18983.96
2017-07-26,12881.72
2017-07-27,15431.89
2017-07-28,17913.81
2017-07-29,21341.24
2017-07-30,19014.7
2017-07-31,20828.06
2017-08-01,24078.0
2017-08-02,20817.79
2017-08-03,21864.73
2017-08-04,20218.34
2017-08-05,19553.34
2017-08-06,12664.29
2017-08-07,23701.79
2017-08-08,22990.850000000002
2017-08-09,21711.14
2017-08-10,15766.73
2017-08-11,13160.44
2017-08-12,16396.89
2017-08-13,20659.76
2017-08-14,22002.86
2017-08-15,21906.5
2017-08-16,16412.23
2017-08-17,24839.92
2017-08-18,19424.96
2017-08-19,12109.01
2017-08-20,15299.16
2017-08-21,21307.12
2017-08-22,21526.45
2017-08-23,20992.15
2017-08-24,19685.97
2017-08-25,19671.16
2017-08-26,20194.69
2017-08-27,17604.09
2017-08-28,16124.15
2017-08-29,20852.35
2017-08-30,20290.12
