"Area","MTU","Solar  - Actual Aggregated [MW]"
"Austria (AT)","04.01.2016 02:30 - 04.01.2016 02:45 (UTC)","0"
"Austria (AT)","04.01.2016 02:45 - 04.01.2016 03:00 (UTC)","0"
"Austria (AT)","04.01.2016 03:00 - 04.01.2016 03:15 (UTC)","0"
"Austria (AT)","04.01.2016 03:15 - 04.01.2016 03:30 (UTC)","0"
"Austria (AT)","04.01.2016 03:30 - 04.01.2016 03:45 (UTC)","0"
"Austria (AT)","04.01.2016 03:45 - 04.01.2016 04:00 (UTC)","0"
"Austria (AT)","04.01.2016 04:00 - 04.01.2016 04:15 (UTC)","0"
"Austria (AT)","04.01.2016 04:15 - 04.01.2016 04:30 (UTC)","0"
"Austria (AT)","04.01.2016 04:30 - 04.01.2016 04:45 (UTC)","0"
"Austria (AT)","04.01.2016 04:45 - 04.01.2016 05:00 (UTC)","0"
"Austria (AT)","04.01.2016 05:00 - 04.01.2016 05:15 (UTC)","0"
"Austria (AT)","04.01.2016 05:15 - 04.01.2016 05:30 (UTC)","0"
"Austria (AT)","04.01.2016 05:30 - 04.01.2016 05:45 (UTC)","0"
"Austria (AT)","04.01.2016 05:45 - 04.01.2016 06:00 (UTC)","0"
"Austria (AT)","04.01.2016 06:00 - 04.01.2016 06:15 (UTC)","8"
"Austria (AT)","04.01.2016 06:15 - 04.01.2016 06:30 (UTC)","8"
"Austria (AT)","04.01.2016 06:30 - 04.01.2016 06:45 (UTC)","8"
"Austria (AT)","04.01.2016 06:45 - 04.01.2016 07:00 (UTC)","8"
"Austria (AT)","04.01.2016 07:00 - 04.01.2016 07:15 (UTC)","8"
"Austria (AT)","04.01.2016 07:15 - 04.01.2016 07:30 (UTC)","9"
"Austria (AT)","04.01.2016 07:30 - 04.01.2016 07:45 (UTC)","11"
"Austria (AT)","04.01.2016 07:45 - 04.01.2016 08:00 (UTC)","12"
"Austria (AT)","04.01.2016 08:00 - 04.01.2016 08:15 (UTC)","16"
"Austria (AT)","04.01.2016 08:15 - 04.01.2016 08:30 (UTC)","21"
"Austria (AT)","04.01.2016 08:30 - 04.01.2016 08:45 (UTC)","26"
"Austria (AT)","04.01.2016 08:45 - 04.01.2016 09:00 (UTC)","31"
"Austria (AT)","04.01.2016 09:00 - 04.01.2016 09:15 (UTC)","36"
"Austria (AT)","04.01.2016 09:15 - 04.01.2016 09:30 (UTC)","40"
"Austria (AT)","04.01.2016 09:30 - 04.01.2016 09:45 (UTC)","44"
"Austria (AT)","04.01.2016 09:45 - 04.01.2016 10:00 (UTC)","48"
"Austria (AT)","04.01.2016 10:00 - 04.01.2016 10:15 (UTC)","50"
"Austria (AT)","04.01.2016 10:15 - 04.01.2016 10:30 (UTC)","53"
